user;lokasi;sentimen;ulasan
Johan Nur Cahyo (Johan);Bukit Jaddhih;Positif;Kalau mau ke tempat ini jangan siang karena sangat panas, mending sore sekalian liat sunset karena begitu bagus dan istimewa. Jalanan menuju tempat ini bisa pake gmaps, tapi jalanan kecil sempit dan banyak yang rusak, sebenarnya disini cuma …
Sundari;Bukit Jaddhih;Negatif;Saya kemaren baru Dari sana pintu masuk pertama d Minta karcis d tengah jln d pinta lagi sudah d dalm d minta nya lagi terlalu Banyak pungli fasilitas apapun gk Ada sangat mengecewakan
cool ibanez;Bukit Jaddhih;Positif;Lokasinya tidak jauh dr Jembatan Suramadu, ± 20 menit perjalanan menggunakan mobil / motor. Harga tiket masuk terjangkau. Ada kolam renang, Goa & Rakit mengarungi danau mini. Sangat layak anda kunjungi..
Kuncoro Sugiharto;Bukit Jaddhih;Positif;Tempat nya cakep dan indah, akses masuk susah, jalan rusak, banyak tarikan pungli, tempat berdebu (serbuk kapur), akses jalan cukup berbahaya karena tidak ada jalur pejalan kaki dan pegangan
Intan Diah Pratiwi;Bukit Jaddhih;Positif;"Bukit kapur yang menjadi wisata dan bisa menjadikan Bangkalan semakin terkenal!

Seperti selayaknya suasana bukit Kapur pada umumnya yang berdebu, terik panas …"
Fitri Manja;Bukit Jaddhih;Positif;Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …
Mentari Senja;Bukit Jaddhih;Positif;Bukit kapur yang apik, sayangnya kurangnya koordinasi para penjaga and parkir... Harusnya kalau sudah berani kasih tiket masuk. Pelayanan untuk wisata lebih baik ditingkatkan dan pemisahan dengan daerah tambanganya di pertimbangkan. Bagus banget buat foto2 ?? …
Joka Poerbianto;Bukit Jaddhih;Positif;Untuk rekreasi keluarga sangat oke, ada kolam renangnya, dg view bukit bekas galian batu kapur yg disulap menjadi destinasi wisata outdoor. Parkir luas, kendaraan bisa naik ke atas bukit terus untuk selfie2.
Silvia Prasetio;Bukit Jaddhih;Positif;Bukit Jaddih terletak tidak jauh dari pusat kota Bangkalan.  Cuaca di sini sangat terik, jangan lupa membawa topi atau payung tetapi bukit kapur yang unik ini merupakan spot foto yang sangat menarik.  Kontribusi untuk masuk ke lokasi ini juga lumayan murah.
diarim v (diarim);Bukit Jaddhih;Negatif;Waktu kesana sepi bangeett, dan yaa kek ada pungli gitu yaa, si bapak2 minta bayar masuk padahal udah ada loket tiketnya. Tapi yauda gapapa bayar ajaa, dripada nnti kenapa2. …
Rodi Ae;Bukit Jaddhih;Negatif;Akses ke wisata ini masih jelek, ada tarik'an d awal yang ngeprank wisatawan, selain itu harga msuk msih ok si..
Rendra Dwi;Bukit Jaddhih;Positif;Tempatnya bagus buat foto tapi saran aja klo mau kesana jangan siang² panas bgt soalnya, trus untuk karcis kalo bisa dijadikan satu aja di awal biar gak bolak balik bayar,
Jouddy Diana;Bukit Jaddhih;Negatif;Hhhhmmmm... Banyak pungli, kurang nyaman karena banyak pungli. Panas dan berdebu ternyata, saya sarankan membawa kacamata biar gak kelilipan Dan sunblock biar kulit gak gosong. sepertinya cukup sekali saja berkunjung bukit Jadih, semoga kedepannya dikelola menjadi lebih baik untuk destinasi wisata yang nyaman
Azka AsFaR;Bukit Jaddhih;Positif;"Tempatnya di Bangkalan
Tempat indah walau hanya bekas galian batu bata, enak buat rekreasi berdua atau rombongan. Ada kolam renang dan Tiket Masuk murah. Kalo cuaca panas enak pake kacamata dan penutup hidung."
LMGP LinamustikaGugusprasetyo;Bukit Jaddhih;Positif;Tempat rekreasi ya lumayan murah meriah.akses jalan tergolong sedang sebab masih ada yg belum aspal.kalau tempat rekreasi ya tergantung penikmat nya kalau suka alam ya pasti klik ni tempat nya.tiket masuk tempat rekreasi 15 ribu.tiket masuk …
Rolif Refo;Bukit Jaddhih;Positif;Pastinya panas banget, tapi kalo udah masuk banyak spot foto bagus. Entah kenapa, waktu ke situ tidak ada pengunjung dan seperti sudah lama tidak dikelola lagi. Banyak fasilitas dan warung-warung terbengkalai.
Adi Suratno;Bukit Jaddhih;Positif;Bukit Jeddih Indah dan menawan di waktu musim penghujan..., Telaga Goa Pote bisa   dipakai untuk berakit-rakit berfoto ria bersama klg . Kolam renangnya  segar dan sejuk... dengan berbagai hidangan di tepian kolamnya . Tempat parkir, toilet …
hanasagt;Bukit Jaddhih;Positif;1. Make sure you bring sunglasses, wear a wide hat, wear proper shoes to avoid sliped and bring umbrella! …
Fety Firdaus Family;Bukit Jaddhih;Positif;Bagus banget pas kesana,  yg penting pinter ambil angel fotonya.... Tp banyak bandit di gerbang masuk sana, itu kalau masuknya lewat jalan sepi. Ga tau nama jalannya, asal nemu dr google maps  ditunjukin jalan itu. …
Reny Kurniawan;Bukit Jaddhih;Positif;Sangattttt.... indahhhhh.... lukisan alam yang luar biasa. Waktu yang tepat untuk menikmati Bukit Jaddhih adalah pagi hari, karena jika siang hari sangat panas ( persiapan sunblock, topi, payung ). Selamat menikmati salah satu keindahan alam negeri ini...
RA Wahyudi;Bukit Jaddhih;Positif;Momen paling bagus saat musim hujan akan berakhir. Rumput menghijau, cuaca tidak terlalu panas.
candri maulida;Bukit Jaddhih;Negatif;Awal masuk biaya persebeda motor 10.000, biaya parkir 10.000. Kalau saat ini bangunan nya warna nya lebih ke menghitam,  area kurang di perhatikan untuk perbaikan tempat wisatanya.
Landung Yufisa Dani;Bukit Jaddhih;Positif;Suka sama pemandangannya, warna airnya bagus (kalau pas musim panas), banyak spot untuk foto. Jalanan menuju kesana gampang n g parah2 banget.. …
Ardhi Nugroho;Bukit Jaddhih;Positif;Tempatnya keren. Cuma mungkin akses jalannya perlu diperbaiki ya. Pengelolaannya juga kalau lebih bagus lagi tempat ini akan jadi lebih baik dan tentunya akan banyak mengundang wisatawan
Shirley Megawati;Bukit Jaddhih;Positif;Spot foto keren... Untung pas datang suasana ngk panas... Jd bisa dpt hasil foto yg bagus... Cm akses masuk ke jaddih jalannya ngk rata
ira dewi;Bukit Jaddhih;Positif;"Alhamdulillaah... sampai juga di Bukit Jaddih (Bangkalan, Pulau Madura).
Tempatnya potensial untuk wisata, namun pengembangan wisatanya perlu ditingkatkan."
Eva Sukma;Bukit Jaddhih;Positif;Bukit kapur dengan bentukan2 yg tertata, ada bentukan kotak yg besar menjulang, ada tangga2 yg bisa dinaiki smp bagian atas ruangan tertentu, ada  galian yg membentuk semacam kubangan besar yg terisi air ...bila tidak hujan airnya menjadi …
Christina Hananto;Bukit Jaddhih;Positif;Berada di daerah bangkalan madura. Akses jalan kesana bisa menggunakan motor maupun mobil. Tempatnya bagus. Tp hrs siap2 bawa payung,atau topi,dan sunblock krn panasnya luar biasa
Margaretta Yulia DR,S. S;Bukit Jaddhih;Positif;Pas pertama ke sini, musim hujan. Air di danau nya bgs. Ke sini lg yg kdua pas musim kering. Tapi ttp bagus. Cuma debu aja. Jd kl pas musim panas ke sana sebaiknya pake masker.
Muin Official;Bukit Jaddhih;Positif;"Alam yang terbentuk dari tetes keringat penduduk. Keindahannya terlihat namun belum nampak kepedulian dari penguasa desa.
Perlu komitmen bersama untuk menjadikan desa wisata yang ramah pada pengunjung.
Jika itu terjadi, insyaaAllah makmur penduduk sekitarnya"
Ilham Romadhona;Bukit Jaddhih;Negatif;Saya kasih bintang 1 dulu. Klo sudah tdk ada banyak pungli baru saya kasih bintang 5?? …
denise elysia;Bukit Jaddhih;Positif;"Tempatnya keren buat berlibur, apalagi jembatan suramadu sudah gratis, kalo kesini harus berhenti yang di ""GOA POTE"" masuknya per orang Rp. 5.000 karena itu bener bener one stop destination gitu ada perahu, ada parkiran, ada toilet, ada …"
teguh surya;Bukit Jaddhih;Positif;"Tempatnya indah, bagus banget view nya utk foto"" ,cuman lebih dikelola lagi aja sama pemerintah sama dikasih bimbingan ke warga sekitar ,  karena disini  banyak pungli ,pertama masuk ke kampungnya kena bayar ,,trus masuk kearea tambangnya …"
???? ??? ????? ????;Bukit Jaddhih;Negatif;Tempatnya agak mbrasak jalan masuknya agak rusak dan berdebu jadi siapin masker dan biasanya ada warga yang meminta biaya illegal seperti satu mobil sepuluh ribu sama per orang lima ribu dan itu nggak sekali tapi berkali kali seharusnya …
nyoman yasa;Bukit Jaddhih;Positif;Kepengen coba rekreasi di Madura, ternyata tambang batu kapur yang masih aktif, parkir sekali masuk dipatok per orang 5000 rupiah, menurut aku sih lumayan
Lia Kusuma Indhiarti;Bukit Jaddhih;Positif;"?? ??? ????.
Keren banget tempatnya..instagramable..
Tapi ada yg perlu diperbaiki..yaitu akses jalan menuju lokasi (ada bbrp titik …"
Muhammad Iqbal Tri Kurniawan;Bukit Jaddhih;Positif;Sebenarnya areanya bebas untuk dijelajahi, namun bila ada aktivitas penambangan dilarang untuk mendekat, bagi yang ingin mendapat spot terbaik naik keatas bukit yang ada rumputnya, tapi hati² saat naik karena batuan kapur yang bisa longsor sewaktu waktu
nurie ayu;Bukit Jaddhih;Positif;Udara panas....akses jalan menuju lokasi masih sepi...pinter2 cari angel unt dapat foto yg bagus.. spot foto banyak...bawa air putih sendiri, krn tdk ada yg jualan...udara yg panas bikin gampang lelah dan haus
Ersa;Bukit Jaddhih;Positif;Tempatnya panas. Tapi bagus untuk foto²
Sigit Arief Wicaksono;Bukit Jaddhih;Positif;Taman bukit jadih merupakan bukit kapur yang berada dekat di kota bangkalan. Bukit ini masih di proses oleh masyarakat sekitar yang di ambil kapur. Jadi jika datang kembali dalam rentang yang cukup lama maka bentuknya akan berubah karena …
vita triargini;Bukit Jaddhih;Positif;"Tempat wisata yang pas utk dikunjungi di madura.karena ini bukit kapur.jadi bisa disiapkan masker
Sebaiknya kesana sore hari karena panas.banyak spoot utk foto"
Errin S;Bukit Jaddhih;Positif;Jalanan k tempat agak susah. Lagi beruntung karena hari biasa dan siang hari, jadi tidak ada pengunjung lain. Serasa VIP ?? Mas nya baik banget nunjukin tempat2 foto, semi tur guide, sekaligus jd fotografer  ?? …
OKTAFIA NURAZIZAH;Bukit Jaddhih;Positif;Hari ini kesana, tempat sepi ada pengunjung cumak ndak banyak, tempat e bagus, keren, gak terlalu panas sih menurutku, terus soal pungli sih gak terlalu merasakan sih cumak kena 2 aja, terus medan nya lumayan oke lah, ada wahana naik perahu …
YuNi;Bukit Jaddhih;Positif;Kalau masuk kesini bayarnya 3 portal, 1 portal kampung, 2 portal masuk wisata, 3 portal masuk telaga. Utk tempat lumayan instragameble, disana juga ada org juala mknan dan minuman ringan, meskipun gk banyak yg jualan tp ada.
luqman hakim;Bukit Jaddhih;Positif;Tempat nya bagus, panas lumayan menyengat. Kebersihan kurang terjaga. Msh ada exploitasi kapur, truck2 msh bersliweran. Mdh2an kedepannya pengelolaan bisa lbh baik lagi spt breksit Jogja
Adestian Prabowo;Bukit Jaddhih;Positif;Kalo untuk tempat sangat bagus dan strategis,tapi sangat di sayangkan untuk menuju ke tempat tersebut kita harus mengocak lumayan uang yg harus di keluarkan,sperti tiket parkir yang begitu mahal,sebelum masuk pasti di berhentikan untuk …
Jalu Prasetya Mulya;Bukit Jaddhih;Positif;Perpaduan warna putih, pantulan sinar matahari yang menyengat, serta warna air kolam yang memberi efek warna yang biru bersih membuat kesan tersendiri di mata, memberi kesan yang cantik di bukit yang aktifitas pertambangan nya masih aktif …
Heru Dwi Hariadi;Bukit Jaddhih;Positif;"Tempatnya bagus dan sangat berpotensi untuk pariwisata.
Bisa di lihat dari foto2 yang yang sy upload.
Pengunjung banyak yang dari Surabaya, Sidoarjo, dan daerah lainnya walopun yang …"
Pradana;Bukit Jaddhih;Positif;"Tempat wisata dengan gua buatan,
Cukup bagus untuk sekedar melepas lelah saat melintasi jembatan suramadu??
Biaya akomodasi dr biaya masuk, parkir kendaraan sampai tiket masuk cukup tinggi …"
Ganong Channel;Bukit Jaddhih;Positif;Jika tidak di kelola dg baik, saya khawatir tempat ini makin lama akan punah. Krn banyaknya penambang batu yg membuat cepat habis bebatuan di tempat wisata ini.
Cupay Christina;Bukit Jaddhih;Positif;tempat yg cantik, namun panas sekali. ada beberapa spot foto yang bagus jika mau eksplor. harus sedia kaca mata hitam, topi/payung, masker/buff untuk menahan debu. jangan lupa pakai baju warna cerah untuk dapat foto bagus.
Alisminia Nia;Bukit Jaddhih;Negatif;For the first time ksana .. kbetulan pakai plat B waktu ksana,ktmu hanya 1 pungli,tp disuruh jln trus,krn blgnya mw ke rmh kluarga d dlm,pdhl sih mw wisata, ksana ngandelin gmaps, masuk mobil 15rb dan per orang dikenakan 5rb rupiah, tempat …
Awang Agus Setiawan;Bukit Jaddhih;Positif;Bukit Kapur ini berada di Bangkalan Madura. Pemandangannya bagus dan jarang ditemui. Siapkan Payung dan topi serta kacamata hitam sebagai penghalau panas. Ada akses jalan masuk melalui jalan utama dan jalan kampung. Jalan kampung secara jarak lebih dekat namun hanya dapat dilalui motor dan mobil kecil saja.
Dewi Apriliani;Bukit Jaddhih;Positif;Pas Dateng ke sini hari Senin, cuma berdua sama temen. Sampe ke bukit sekitar jam 10 an. Ternyata belum ada temen wisatawan yang lain berkunjung. Berasa wisata horor agak ??... Tapi setelah berkeliling beberapa saat datang rombongan …
AnwarMU 123;Bukit Jaddhih;Positif;"Bukit Jaddih Madura
Terletak di Bangkalan, lebih cepat diakses via kapal feri dr tanjung perak Surabaya. …"
Yohannes Evan;Bukit Jaddhih;Positif;Tempat wisata yg eksotis pemandangan Bagus, cocok buat foto foto. Saran kalo kesini pagi atau agak sore, udaranya seger
Ilham Perkasa;Bukit Jaddhih;Negatif;Bawalah banyak uang karena banyak preman pungli, pun yang mengaku resmi bertiket. Mulai masuk jalan akses sudah ditarik infaq, kemudian maju beberapa ratus meter ada pos tiket lagi, nanti mau masuk & parkir di Goa Pote juga disuruh bayar …
Siswo Prassetiyo;Bukit Jaddhih;Positif;Lokasinya sendiri cukup menarik, meskipun jalan masuk agak susah karena masih asli juga sangat berdebu dan petunjuk ke lokasi masih sederhana. Untuk pesepeda seperti saya gak usah parkir tapi bisa bawa masuk sepeda ke dalam.
athok fadhlin;Bukit Jaddhih;Positif;"Tempatnya bagus buat foto"". Untuk tiket bayar 2x, di area tambang sama di area goa pote. Masing"" Rp.5000/orang. Untuk fasilitas ada toilet sama warung juga, parkir sangat luas. Sayangnya untuk kebersihan kurang diperhatikan"
HENDRA KURNIAWAN;Bukit Jaddhih;Positif;Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing
Himmatul Azizah Almina;Bukit Jaddhih;Negatif;Tidak direkomendasikan kesana dalam minggu minggu ini, karena kolamnya lagi dikuras, sangat mengecewakan pokoknya. Apalagi penjaga tiketnya nggak ngomong pula, udah bayar 5rb per orang tapi kolamnya gaada. Cuma bisa liat bapak bapak lagi …
anti ahsanti;Bukit Jaddhih;Positif;Aslinya ini kan tempat penambangan batu kapur. Tapi jadi tempat wisata karena lokasi bekas hasil penambangan nya jadi epic. Banyak spot foto yang bagus sih disini. Kalau mau eksplore madura coba juga buat wisata kesini.
Vincentia Ayu;Bukit Jaddhih;Positif;Nice view. Kalo dikelola dengan baik pasti keren. Pas kesini kebetulan lewat Burneh (cmiiw), jd lewat jalan yang ga terlalu lebar. Kiri kanan masih sawah2, menyenangkan lihatnya buat orang spt saya yg tiap hari liat layar komputer. Trus mendekati Jadih hill lewat perkampungan gitu, sampe akhirnya sampe ke bukit kapurnya.
slow motion;Bukit Jaddhih;Positif;Cukup exotis...sayang kolam renang ngk ada yg dalam. Maksimal setengah badan orang dewasa...akses jalan tidak terlalu bagus sebaiknya sedan jangan nekat.
Triya Hadi Susanto;Bukit Jaddhih;Positif;Tempat yg keren...dri tambang batu kapur...disulap sedimikan rupa jadi tempat wisata...ada kolam renangnya juga....segeerrrrr....seruuu
Risdiana Dwiwindarti;Bukit Jaddhih;Positif;Dulu ramai,kini sepi krn pendemi,buat pengelola ditambahkan jaring di atas supaya tidak terlalu panas,saya tgl 13 maret 2021,kasihan warung2nya.kurang promosi di medsos pengelolanya
Galuh Windanti;Bukit Jaddhih;Negatif;Kurang rekomended. Karna pertama aksesibilitas nya kurang. Jalannya sempit dan agak sepi sehingga tidak meyakinkan dan berbahaya menurut saya kalo tidak rame2. Kurang worth it. Tidak jelas informasinya pintu masuknya dan tiba2 ada yang …
zhucheepto;Bukit Jaddhih;Positif;Sangat bagus bukit kapur dan telaga, sayang jalan menuju. Lokasi untuk bus kurang lebar belum didukung fasilitas yg baik
Septhia Dwi;Bukit Jaddhih;Positif;"Spot foto instgramable banget. Semua tempat bisa dijadiin spot foto.
Ada 2x bayar. Yg pertama waktu masuk awal kawasan perkendaraan beda2.
Yg kedua mau masuk danau(yg cuma ada pas hujan) bayarnya diitung perorangan.
Kesana sore jadi gk panas."
Putri Belqis Rafidah;Bukit Jaddhih;Positif;Jalan menuru lokasi tdk terlalu luas, masuk desa2. Saat kesana cuaca mendung jadi tdk panas.
Denny Hamonangan Chan;Bukit Jaddhih;Negatif;"Bukit kapur biasa, tak ada yang spesial. Objek yg ""dijual"" hanya bekas gua2 dan lubang penambangan. Selebihnya tak ada yg bisa dinikmati. lokasi lumayan jauh dan jalan kurang begitu baik. Retribusi masyarakat dimana-mana, menambah …"
harmoko explor;Bukit Jaddhih;Positif;Tidak termanage dengan baik , tiket masuk bayar 2x ... fasilitas minim, bagi penghobi Selfi sangat bagus ,banyak sport foto
MIFTAHUL AFKARINA;Bukit Jaddhih;Positif;Uhuy mantapp
Aliya Saf;Bukit Jaddhih;Positif;Tempatnya cocok bagi para penggemar fotografi dan berselfie. Yang kurang yaitu, tempatnya panas, dan jalan menuju tempat ini terbilang agak sulit untuk kendaraan mobil atau bis.
Desy Erika Permatasari;Bukit Jaddhih;Positif;Tempat ini khusus bagi mereka penikmat alam dan hunting foto dg view yg bagus. Karena disini sebenarnya bukit kapur dan tempat dimana orang-orang menambang kapur. Jangan lupa bawa kacamata hitam atau payung agar tidak terlalu kepanasan dan silau
Adi Wardoyo;Bukit Jaddhih;Positif;Bukit kapur yang indah dan masih diusahakan untuk dikelola oleh masyarakat. Beberapa waktu mendatang pasti lebih baik lagi karena tempat ini akan dilengkapi jg dengan fasilitas penunjang standar standart supaya wisatawan lebih enjoy dan menikmati keindahan alam jeddih.
Mister Baru;Bukit Jaddhih;Positif;"Sempat ke goa pote aja
Bukit jaddihnya jarang yang kesana sekarang. Padahal dulu bagus"
cece cookies;Bukit Jaddhih;Positif;"Ga dikelola secara khusus. Mungkin karna emang area pertambangan aktiv ya.. masih ada aktivitas.
Bagus buat spot foto, tapi air kolamnya ga selalu ada. Musim hujan aja ga tentu …"
